source_sheet,source_row,original_keyword,normalized_name,candidate_sido,candidate_sigungu,candidate_parent,region_type,evidence,confidence,status,unresolved_reason,reason
충북,10,영동군,영동군,충청북도,,충북,administrative,"{""source_sheet_match"": true, ""original_string_parent"": false, ""neighbor_block_match"": false, ""same_sheet_pattern_match"": true, ""school_evidence_match"": false, ""official_reference_match"": true}",high,confirmed,,Strong direct official match under the source-sheet jurisdiction.
충북,11,증평군,증평군,충청북도,,충북,administrative,"{""source_sheet_match"": true, ""original_string_parent"": false, ""neighbor_block_match"": false, ""same_sheet_pattern_match"": true, ""school_evidence_match"": false, ""official_reference_match"": true}",high,confirmed,,Strong direct official match under the source-sheet jurisdiction.
충북,12,진천군,진천군,충청북도,,충북,administrative,"{""source_sheet_match"": true, ""original_string_parent"": false, ""neighbor_block_match"": false, ""same_sheet_pattern_match"": true, ""school_evidence_match"": false, ""official_reference_match"": true}",high,confirmed,,Strong direct official match under the source-sheet jurisdiction.
충북,13,괴산군,괴산군,충청북도,,충북,administrative,"{""source_sheet_match"": true, ""original_string_parent"": false, ""neighbor_block_match"": false, ""same_sheet_pattern_match"": true, ""school_evidence_match"": false, ""official_reference_match"": true}",high,confirmed,,Strong direct official match under the source-sheet jurisdiction.
충북,14,음성군,음성군,충청북도,,충북,administrative,"{""source_sheet_match"": true, ""original_string_parent"": false, ""neighbor_block_match"": false, ""same_sheet_pattern_match"": true, ""school_evidence_match"": false, ""official_reference_match"": true}",high,confirmed,,Strong direct official match under the source-sheet jurisdiction.
충북,15,단양군,단양군,충청북도,,충북,administrative,"{""source_sheet_match"": true, ""original_string_parent"": false, ""neighbor_block_match"": false, ""same_sheet_pattern_match"": true, ""school_evidence_match"": false, ""official_reference_match"": true}",high,confirmed,,Strong direct official match under the source-sheet jurisdiction.
충남,2,공주시,공주시,충청남도,,충남,administrative,"{""source_sheet_match"": true, ""original_string_parent"": false, ""neighbor_block_match"": false, ""same_sheet_pattern_match"": true, ""school_evidence_match"": false, ""official_reference_match"": true}",high,confirmed,,Strong direct official match under the source-sheet jurisdiction.
충남,3,보령시,보령시,충청남도,,충남,administrative,"{""source_sheet_match"": true, ""original_string_parent"": false, ""neighbor_block_match"": false, ""same_sheet_pattern_match"": true, ""school_evidence_match"": false, ""official_reference_match"": true}",high,confirmed,,Strong direct official match under the source-sheet jurisdiction.
충남,4,아산시,아산시,충청남도,,충남,administrative,"{""source_sheet_match"": true, ""original_string_parent"": false, ""neighbor_block_match"": false, ""same_sheet_pattern_match"": true, ""school_evidence_match"": false, ""official_reference_match"": true}",high,confirmed,,Strong direct official match under the source-sheet jurisdiction.
충남,5,서산시,서산시,충청남도,,충남,administrative,"{""source_sheet_match"": true, ""original_string_parent"": false, ""neighbor_block_match"": false, ""same_sheet_pattern_match"": true, ""school_evidence_match"": false, ""official_reference_match"": true}",high,confirmed,,Strong direct official match under the source-sheet jurisdiction.
충남,6,논산시,논산시,충청남도,,충남,administrative,"{""source_sheet_match"": true, ""original_string_parent"": false, ""neighbor_block_match"": false, ""same_sheet_pattern_match"": true, ""school_evidence_match"": false, ""official_reference_match"": true}",high,confirmed,,Strong direct official match under the source-sheet jurisdiction.
충남,7,계룡시,계룡시,충청남도,,충남,administrative,"{""source_sheet_match"": true, ""original_string_parent"": false, ""neighbor_block_match"": false, ""same_sheet_pattern_match"": true, ""school_evidence_match"": false, ""official_reference_match"": true}",high,confirmed,,Strong direct official match under the source-sheet jurisdiction.
충남,8,당진시,당진시,충청남도,,충남,administrative,"{""source_sheet_match"": true, ""original_string_parent"": false, ""neighbor_block_match"": false, ""same_sheet_pattern_match"": true, ""school_evidence_match"": false, ""official_reference_match"": true}",high,confirmed,,Strong direct official match under the source-sheet jurisdiction.
충남,9,금산군,금산군,충청남도,,충남,administrative,"{""source_sheet_match"": true, ""original_string_parent"": false, ""neighbor_block_match"": false, ""same_sheet_pattern_match"": true, ""school_evidence_match"": false, ""official_reference_match"": true}",high,confirmed,,Strong direct official match under the source-sheet jurisdiction.
충남,10,부여군,부여군,충청남도,,충남,administrative,"{""source_sheet_match"": true, ""original_string_parent"": false, ""neighbor_block_match"": false, ""same_sheet_pattern_match"": true, ""school_evidence_match"": false, ""official_reference_match"": true}",high,confirmed,,Strong direct official match under the source-sheet jurisdiction.
충남,11,서천군,서천군,충청남도,,충남,administrative,"{""source_sheet_match"": true, ""original_string_parent"": false, ""neighbor_block_match"": false, ""same_sheet_pattern_match"": true, ""school_evidence_match"": false, ""official_reference_match"": true}",high,confirmed,,Strong direct official match under the source-sheet jurisdiction.
충남,12,청양군,청양군,충청남도,,충남,administrative,"{""source_sheet_match"": true, ""original_string_parent"": false, ""neighbor_block_match"": false, ""same_sheet_pattern_match"": true, ""school_evidence_match"": false, ""official_reference_match"": true}",high,confirmed,,Strong direct official match under the source-sheet jurisdiction.
충남,13,홍성군,홍성군,충청남도,,충남,administrative,"{""source_sheet_match"": true, ""original_string_parent"": false, ""neighbor_block_match"": false, ""same_sheet_pattern_match"": true, ""school_evidence_match"": false, ""official_reference_match"": true}",high,confirmed,,Strong direct official match under the source-sheet jurisdiction.
충남,14,예산군,예산군,충청남도,,충남,administrative,"{""source_sheet_match"": true, ""original_string_parent"": false, ""neighbor_block_match"": false, ""same_sheet_pattern_match"": true, ""school_evidence_match"": false, ""official_reference_match"": true}",high,confirmed,,Strong direct official match under the source-sheet jurisdiction.
충남,15,태안군,태안군,충청남도,,충남,administrative,"{""source_sheet_match"": true, ""original_string_parent"": false, ""neighbor_block_match"": false, ""same_sheet_pattern_match"": true, ""school_evidence_match"": false, ""official_reference_match"": true}",high,confirmed,,Strong direct official match under the source-sheet jurisdiction.
충남,16,천안시,천안시,충청남도,,충남,administrative,"{""source_sheet_match"": true, ""original_string_parent"": false, ""neighbor_block_match"": false, ""same_sheet_pattern_match"": true, ""school_evidence_match"": false, ""official_reference_match"": true}",high,confirmed,,Strong direct official match under the source-sheet jurisdiction.
전북,2,전주시,전주시,전북특별자치도,,전북,administrative,"{""source_sheet_match"": true, ""original_string_parent"": false, ""neighbor_block_match"": false, ""same_sheet_pattern_match"": true, ""school_evidence_match"": false, ""official_reference_match"": true}",high,confirmed,,Strong direct official match under the source-sheet jurisdiction.
