page_id,route,final_status,generation_allowed,source_sheet,source_row,k_present,output_path,output_exists_after,action
candidate:tutor:kr-b300-ad6c-kr-b300-ad6c-c911-ad6c-kr-c218-cc3d-b3d9:region_tutor,/tutor/kr-b300-ad6c-kr-b300-ad6c-c911-ad6c-kr-c218-cc3d-b3d9/region_tutor,READY_REMOVE_DUPLICATE_H1,true,대구,87,true,C:\프로젝트\tutorplan\output\tutor\kr-b300-ad6c-kr-b300-ad6c-c911-ad6c-kr-c218-cc3d-b3d9\region_tutor\index.html,True,GENERATED_K_REMOVE_H1
candidate:tutor:kr-b300-ad6c-kr-b300-ad6c-c911-ad6c-kr-c54c-d30c-c2dc-d2f0:region_tutor,/tutor/kr-b300-ad6c-kr-b300-ad6c-c911-ad6c-kr-c54c-d30c-c2dc-d2f0/region_tutor,READY_REMOVE_DUPLICATE_H1,true,대구,88,true,C:\프로젝트\tutorplan\output\tutor\kr-b300-ad6c-kr-b300-ad6c-c911-ad6c-kr-c54c-d30c-c2dc-d2f0\region_tutor\index.html,True,GENERATED_K_REMOVE_H1
candidate:tutor:kr-b300-ad6c-kr-c5f0-d638-c9c0-ad6c:region_tutor,/tutor/kr-b300-ad6c-kr-c5f0-d638-c9c0-ad6c/region_tutor,READY_REMOVE_DUPLICATE_H1,true,대구,89,true,C:\프로젝트\tutorplan\output\tutor\kr-b300-ad6c-kr-c5f0-d638-c9c0-ad6c\region_tutor\index.html,True,GENERATED_K_REMOVE_H1
candidate:tutor:kr-b300-ad6c-kr-b300-ad6c-d601-c2e0-b3c4-c2dc:region_tutor,/tutor/kr-b300-ad6c-kr-b300-ad6c-d601-c2e0-b3c4-c2dc/region_tutor,READY_REMOVE_DUPLICATE_H1,true,대구,90,true,C:\프로젝트\tutorplan\output\tutor\kr-b300-ad6c-kr-b300-ad6c-d601-c2e0-b3c4-c2dc\region_tutor\index.html,True,GENERATED_K_REMOVE_H1
candidate:tutor:kr-b300-ad6c-kr-b300-ad6c-d601-c2e0-b3c4-c2dc-kr-c548-c2ec:region_tutor,/tutor/kr-b300-ad6c-kr-b300-ad6c-d601-c2e0-b3c4-c2dc-kr-c548-c2ec/region_tutor,READY_REMOVE_DUPLICATE_H1,true,대구,91,true,C:\프로젝트\tutorplan\output\tutor\kr-b300-ad6c-kr-b300-ad6c-d601-c2e0-b3c4-c2dc-kr-c548-c2ec\region_tutor\index.html,True,GENERATED_K_REMOVE_H1
candidate:tutor:kr-b300-ad6c-kr-b300-ad6c-d601-c2e0-b3c4-c2dc-kr-c774-c2dc-c544-d3f4-b9ac-c2a4:region_tutor,/tutor/kr-b300-ad6c-kr-b300-ad6c-d601-c2e0-b3c4-c2dc-kr-c774-c2dc-c544-d3f4-b9ac-c2a4/region_tutor,READY_REMOVE_DUPLICATE_H1,true,대구,93,true,C:\프로젝트\tutorplan\output\tutor\kr-b300-ad6c-kr-b300-ad6c-d601-c2e0-b3c4-c2dc-kr-c774-c2dc-c544-d3f4-b9ac-c2a4\region_tutor\index.html,True,GENERATED_K_REMOVE_H1
candidate:tutor:kr-b300-ad6c-kr-b300-ad6c-d601-c2e0-b3c4-c2dc-kr-bc18-c6d4-b2f9:region_tutor,/tutor/kr-b300-ad6c-kr-b300-ad6c-d601-c2e0-b3c4-c2dc-kr-bc18-c6d4-b2f9/region_tutor,READY_REMOVE_DUPLICATE_H1,true,대구,94,true,C:\프로젝트\tutorplan\output\tutor\kr-b300-ad6c-kr-b300-ad6c-d601-c2e0-b3c4-c2dc-kr-bc18-c6d4-b2f9\region_tutor\index.html,True,GENERATED_K_REMOVE_H1
candidate:tutor:kr-b300-ad6c-kr-b300-ad6c-d601-c2e0-b3c4-c2dc-kr-d14c-d06c-b178-d3f4-b9ac-c2a4:region_tutor,/tutor/kr-b300-ad6c-kr-b300-ad6c-d601-c2e0-b3c4-c2dc-kr-d14c-d06c-b178-d3f4-b9ac-c2a4/region_tutor,READY_REMOVE_DUPLICATE_H1,true,대구,95,true,C:\프로젝트\tutorplan\output\tutor\kr-b300-ad6c-kr-b300-ad6c-d601-c2e0-b3c4-c2dc-kr-d14c-d06c-b178-d3f4-b9ac-c2a4\region_tutor\index.html,True,GENERATED_K_REMOVE_H1
candidate:tutor:kr-b300-ad6c-kr-b300-ad6c-d601-c2e0-b3c4-c2dc-kr-b17c-acf5:region_tutor,/tutor/kr-b300-ad6c-kr-b300-ad6c-d601-c2e0-b3c4-c2dc-kr-b17c-acf5/region_tutor,READY_REMOVE_DUPLICATE_H1,true,대구,96,true,C:\프로젝트\tutorplan\output\tutor\kr-b300-ad6c-kr-b300-ad6c-d601-c2e0-b3c4-c2dc-kr-b17c-acf5\region_tutor\index.html,True,GENERATED_K_REMOVE_H1
candidate:tutor:kr-b300-ad6c-kr-b300-ad6c-d601-c2e0-b3c4-c2dc-kr-ad6c-c9c0:region_tutor,/tutor/kr-b300-ad6c-kr-b300-ad6c-d601-c2e0-b3c4-c2dc-kr-ad6c-c9c0/region_tutor,READY_REMOVE_DUPLICATE_H1,true,대구,97,true,C:\프로젝트\tutorplan\output\tutor\kr-b300-ad6c-kr-b300-ad6c-d601-c2e0-b3c4-c2dc-kr-ad6c-c9c0\region_tutor\index.html,True,GENERATED_K_REMOVE_H1
candidate:tutor:kr-b300-ad6c-kr-b300-ad6c-d601-c2e0-b3c4-c2dc-kr-bd80-c0b0:region_tutor,/tutor/kr-b300-ad6c-kr-b300-ad6c-d601-c2e0-b3c4-c2dc-kr-bd80-c0b0/region_tutor,READY_REMOVE_DUPLICATE_H1,true,대구,98,true,C:\프로젝트\tutorplan\output\tutor\kr-b300-ad6c-kr-b300-ad6c-d601-c2e0-b3c4-c2dc-kr-bd80-c0b0\region_tutor\index.html,True,GENERATED_K_REMOVE_H1
candidate:tutor:kr-b300-ad6c-kr-ae30-c7a5-ad70:region_tutor,/tutor/kr-b300-ad6c-kr-ae30-c7a5-ad70/region_tutor,READY_REMOVE_DUPLICATE_H1,true,대구,100,true,C:\프로젝트\tutorplan\output\tutor\kr-b300-ad6c-kr-ae30-c7a5-ad70\region_tutor\index.html,True,GENERATED_K_REMOVE_H1
candidate:tutor:kr-b300-ad6c-kr-bd80-c0b0-b0a8-ad6c:region_tutor,/tutor/kr-b300-ad6c-kr-bd80-c0b0-b0a8-ad6c/region_tutor,READY_REMOVE_DUPLICATE_H1,true,대구,101,true,C:\프로젝트\tutorplan\output\tutor\kr-b300-ad6c-kr-bd80-c0b0-b0a8-ad6c\region_tutor\index.html,True,GENERATED_K_REMOVE_H1
candidate:tutor:kr-b300-ad6c-kr-b3d9-b798-ad6c:region_tutor,/tutor/kr-b300-ad6c-kr-b3d9-b798-ad6c/region_tutor,READY_REMOVE_DUPLICATE_H1,true,대구,102,true,C:\프로젝트\tutorplan\output\tutor\kr-b300-ad6c-kr-b3d9-b798-ad6c\region_tutor\index.html,True,GENERATED_K_REMOVE_H1
