source_sheet,source_row,original_keyword,normalized_region_name,candidate_sido,candidate_sigungu,candidate_parent,match_method,confidence,reason,status,candidate_parents,region_id,parent_region_id
경북,7,구미시,구미시,경상북도,,,no_official_candidate_within_source_sheet,low,No active legal-dong candidate matched within the source-sheet jurisdiction.,unresolved,[],kr-acbd-bd81-kr-ad6c-bbf8-c2dc,
경북,8,영주시,영주시,경상북도,,,no_official_candidate_within_source_sheet,low,No active legal-dong candidate matched within the source-sheet jurisdiction.,unresolved,[],kr-acbd-bd81-kr-c601-c8fc-c2dc,
경북,9,영천시,영천시,경상북도,,,no_official_candidate_within_source_sheet,low,No active legal-dong candidate matched within the source-sheet jurisdiction.,unresolved,[],kr-acbd-bd81-kr-c601-cc9c-c2dc,
경북,10,상주시,상주시,경상북도,,,no_official_candidate_within_source_sheet,low,No active legal-dong candidate matched within the source-sheet jurisdiction.,unresolved,[],kr-acbd-bd81-kr-c0c1-c8fc-c2dc,
경북,11,문경시,문경시,경상북도,,,no_official_candidate_within_source_sheet,low,No active legal-dong candidate matched within the source-sheet jurisdiction.,unresolved,[],kr-acbd-bd81-kr-bb38-acbd-c2dc,
경북,12,경산시,경산시,경상북도,,,no_official_candidate_within_source_sheet,low,No active legal-dong candidate matched within the source-sheet jurisdiction.,unresolved,[],kr-acbd-bd81-kr-acbd-c0b0-c2dc,
경북,13,의성군,의성군,경상북도,,,no_official_candidate_within_source_sheet,low,No active legal-dong candidate matched within the source-sheet jurisdiction.,unresolved,[],kr-acbd-bd81-kr-c758-c131-ad70,
경북,14,청송군,청송군,경상북도,,,no_official_candidate_within_source_sheet,low,No active legal-dong candidate matched within the source-sheet jurisdiction.,unresolved,[],kr-acbd-bd81-kr-ccad-c1a1-ad70,
경북,15,영양군,영양군,경상북도,,,no_official_candidate_within_source_sheet,low,No active legal-dong candidate matched within the source-sheet jurisdiction.,unresolved,[],kr-acbd-bd81-kr-c601-c591-ad70,
경북,16,영덕군,영덕군,경상북도,,,no_official_candidate_within_source_sheet,low,No active legal-dong candidate matched within the source-sheet jurisdiction.,unresolved,[],kr-acbd-bd81-kr-c601-b355-ad70,
경북,17,청도군,청도군,경상북도,,,no_official_candidate_within_source_sheet,low,No active legal-dong candidate matched within the source-sheet jurisdiction.,unresolved,[],kr-acbd-bd81-kr-ccad-b3c4-ad70,
경북,18,고령군,고령군,경상북도,,,no_official_candidate_within_source_sheet,low,No active legal-dong candidate matched within the source-sheet jurisdiction.,unresolved,[],kr-acbd-bd81-kr-ace0-b839-ad70,
경북,19,성주군,성주군,경상북도,,,no_official_candidate_within_source_sheet,low,No active legal-dong candidate matched within the source-sheet jurisdiction.,unresolved,[],kr-acbd-bd81-kr-c131-c8fc-ad70,
경북,20,칠곡군,칠곡군,경상북도,,,no_official_candidate_within_source_sheet,low,No active legal-dong candidate matched within the source-sheet jurisdiction.,unresolved,[],kr-acbd-bd81-kr-ce60-ace1-ad70,
경북,21,예천군,예천군,경상북도,,,no_official_candidate_within_source_sheet,low,No active legal-dong candidate matched within the source-sheet jurisdiction.,unresolved,[],kr-acbd-bd81-kr-c608-cc9c-ad70,
경북,22,봉화군,봉화군,경상북도,,,no_official_candidate_within_source_sheet,low,No active legal-dong candidate matched within the source-sheet jurisdiction.,unresolved,[],kr-acbd-bd81-kr-bd09-d654-ad70,
경북,23,울진군,울진군,경상북도,,,no_official_candidate_within_source_sheet,low,No active legal-dong candidate matched within the source-sheet jurisdiction.,unresolved,[],kr-acbd-bd81-kr-c6b8-c9c4-ad70,
경북,24,울릉군,울릉군,경상북도,,,no_official_candidate_within_source_sheet,low,No active legal-dong candidate matched within the source-sheet jurisdiction.,unresolved,[],kr-acbd-bd81-kr-c6b8-b989-ad70,
경남,2,창원시 ,창원시,경상남도,,,no_official_candidate_within_source_sheet,low,No active legal-dong candidate matched within the source-sheet jurisdiction.,unresolved,[],kr-acbd-b0a8-kr-cc3d-c6d0-c2dc,
경남,8,진주시,진주시,경상남도,,,no_official_candidate_within_source_sheet,low,No active legal-dong candidate matched within the source-sheet jurisdiction.,unresolved,[],kr-acbd-b0a8-kr-c9c4-c8fc-c2dc,
경남,9,통영시,통영시,경상남도,,,no_official_candidate_within_source_sheet,low,No active legal-dong candidate matched within the source-sheet jurisdiction.,unresolved,[],kr-acbd-b0a8-kr-d1b5-c601-c2dc,
경남,10,사천시,사천시,경상남도,,,no_official_candidate_within_source_sheet,low,No active legal-dong candidate matched within the source-sheet jurisdiction.,unresolved,[],kr-acbd-b0a8-kr-c0ac-cc9c-c2dc,
경남,11,김해시,김해시,경상남도,,,no_official_candidate_within_source_sheet,low,No active legal-dong candidate matched within the source-sheet jurisdiction.,unresolved,[],kr-acbd-b0a8-kr-ae40-d574-c2dc,
경남,12,밀양시,밀양시,경상남도,,,no_official_candidate_within_source_sheet,low,No active legal-dong candidate matched within the source-sheet jurisdiction.,unresolved,[],kr-acbd-b0a8-kr-bc00-c591-c2dc,
경남,13,거제시,거제시,경상남도,,,no_official_candidate_within_source_sheet,low,No active legal-dong candidate matched within the source-sheet jurisdiction.,unresolved,[],kr-acbd-b0a8-kr-ac70-c81c-c2dc,
경남,14,양산시,양산시,경상남도,,,no_official_candidate_within_source_sheet,low,No active legal-dong candidate matched within the source-sheet jurisdiction.,unresolved,[],kr-acbd-b0a8-kr-c591-c0b0-c2dc,
경남,15,의령군,의령군,경상남도,,,no_official_candidate_within_source_sheet,low,No active legal-dong candidate matched within the source-sheet jurisdiction.,unresolved,[],kr-acbd-b0a8-kr-c758-b839-ad70,
경남,16,함안군,함안군,경상남도,,,no_official_candidate_within_source_sheet,low,No active legal-dong candidate matched within the source-sheet jurisdiction.,unresolved,[],kr-acbd-b0a8-kr-d568-c548-ad70,
경남,17,창녕군,창녕군,경상남도,,,no_official_candidate_within_source_sheet,low,No active legal-dong candidate matched within the source-sheet jurisdiction.,unresolved,[],kr-acbd-b0a8-kr-cc3d-b155-ad70,
경남,18,고성군,고성군,경상남도,,,no_official_candidate_within_source_sheet,low,No active legal-dong candidate matched within the source-sheet jurisdiction.,unresolved,[],kr-acbd-b0a8-kr-ace0-c131-ad70,
경남,19,남해군,남해군,경상남도,,,no_official_candidate_within_source_sheet,low,No active legal-dong candidate matched within the source-sheet jurisdiction.,unresolved,[],kr-acbd-b0a8-kr-b0a8-d574-ad70,
경남,20,하동군,하동군,경상남도,,,no_official_candidate_within_source_sheet,low,No active legal-dong candidate matched within the source-sheet jurisdiction.,unresolved,[],kr-acbd-b0a8-kr-d558-b3d9-ad70,
경남,21,산청군,산청군,경상남도,,,no_official_candidate_within_source_sheet,low,No active legal-dong candidate matched within the source-sheet jurisdiction.,unresolved,[],kr-acbd-b0a8-kr-c0b0-ccad-ad70,
경남,22,함양군,함양군,경상남도,,,no_official_candidate_within_source_sheet,low,No active legal-dong candidate matched within the source-sheet jurisdiction.,unresolved,[],kr-acbd-b0a8-kr-d568-c591-ad70,
경남,23,거창군,거창군,경상남도,,,no_official_candidate_within_source_sheet,low,No active legal-dong candidate matched within the source-sheet jurisdiction.,unresolved,[],kr-acbd-b0a8-kr-ac70-cc3d-ad70,
경남,24,합천군,합천군,경상남도,,,no_official_candidate_within_source_sheet,low,No active legal-dong candidate matched within the source-sheet jurisdiction.,unresolved,[],kr-acbd-b0a8-kr-d569-cc9c-ad70,
제주도,2,제주,제주,제주특별자치도,,,no_official_candidate_within_source_sheet,low,No active legal-dong candidate matched within the source-sheet jurisdiction.,unresolved,[],kr-c81c-c8fc-b3c4-kr-c81c-c8fc,
제주도,3,서귀포,서귀포,제주특별자치도,,,no_official_candidate_within_source_sheet,low,No active legal-dong candidate matched within the source-sheet jurisdiction.,unresolved,[],kr-c81c-c8fc-b3c4-kr-c11c-adc0-d3ec,
