page_id,region_id,keyword,sheet,row,route,status
candidate:tutor:seoul-kr-c911-b791-ad6c-kr-c678-bc1c-c0b0-b3d9:region_tutor,seoul-kr-c911-b791-ad6c-kr-c678-bc1c-c0b0-b3d9,외발산동과외,서울,66,/tutor/seoul-kr-c911-b791-ad6c-kr-c678-bc1c-c0b0-b3d9/region_tutor,HOLD_CONTENT
candidate:tutor:seoul-kr-c911-b791-ad6c-kr-d654-ace1-b3d9:region_tutor,seoul-kr-c911-b791-ad6c-kr-d654-ace1-b3d9,화곡동과외,서울,67,/tutor/seoul-kr-c911-b791-ad6c-kr-d654-ace1-b3d9/region_tutor,HOLD_CONTENT
candidate:tutor:seoul-kr-c911-b791-ad6c-kr-b0a8-d604-b3d9:region_tutor,seoul-kr-c911-b791-ad6c-kr-b0a8-d604-b3d9,남현동과외,서울,68,/tutor/seoul-kr-c911-b791-ad6c-kr-b0a8-d604-b3d9/region_tutor,HOLD_CONTENT
candidate:tutor:seoul-kr-c911-b791-ad6c-kr-bd09-cc9c-b3d9:region_tutor,seoul-kr-c911-b791-ad6c-kr-bd09-cc9c-b3d9,봉천동과외,서울,69,/tutor/seoul-kr-c911-b791-ad6c-kr-bd09-cc9c-b3d9/region_tutor,HOLD_CONTENT
candidate:tutor:seoul-kr-c911-b791-ad6c-kr-c2e0-b9bc-b3d9:region_tutor,seoul-kr-c911-b791-ad6c-kr-c2e0-b9bc-b3d9,신림동과외,서울,70,/tutor/seoul-kr-c911-b791-ad6c-kr-c2e0-b9bc-b3d9/region_tutor,HOLD_CONTENT
candidate:tutor:seoul-kr-c911-b791-ad6c-kr-ad11-c7a5-b3d9:region_tutor,seoul-kr-c911-b791-ad6c-kr-ad11-c7a5-b3d9,광장동과외,서울,71,/tutor/seoul-kr-c911-b791-ad6c-kr-ad11-c7a5-b3d9/region_tutor,HOLD_CONTENT
candidate:tutor:seoul-kr-c911-b791-ad6c-kr-ad6c-c758-b3d9:region_tutor,seoul-kr-c911-b791-ad6c-kr-ad6c-c758-b3d9,구의동과외,서울,72,/tutor/seoul-kr-c911-b791-ad6c-kr-ad6c-c758-b3d9/region_tutor,HOLD_CONTENT
candidate:tutor:seoul-kr-c911-b791-ad6c-kr-ad70-c790-b3d9:region_tutor,seoul-kr-c911-b791-ad6c-kr-ad70-c790-b3d9,군자동과외,서울,73,/tutor/seoul-kr-c911-b791-ad6c-kr-ad70-c790-b3d9/region_tutor,HOLD_CONTENT
candidate:tutor:seoul-kr-c911-b791-ad6c-kr-b2a5-b3d9:region_tutor,seoul-kr-c911-b791-ad6c-kr-b2a5-b3d9,광진구 능동과외,서울,74,/tutor/seoul-kr-c911-b791-ad6c-kr-b2a5-b3d9/region_tutor,HOLD_CONTENT
candidate:tutor:seoul-kr-c911-b791-ad6c-kr-c790-c591-b3d9:region_tutor,seoul-kr-c911-b791-ad6c-kr-c790-c591-b3d9,자양동과외,서울,75,/tutor/seoul-kr-c911-b791-ad6c-kr-c790-c591-b3d9/region_tutor,HOLD_CONTENT
