normalized_school_name,school_level,reference_count,region_count,sigungu_count,sido_count,classification,confidence,source_region_statuses
부산서여자고등학교,high_school,5,1,1,1,manual_review,low,normal
경성전자고등학교,high_school,7,1,1,1,manual_review,low,normal
경남중학교,middle_school,2,1,1,1,manual_review,low,normal
부산관광고등학교,high_school,3,1,1,1,manual_review,low,normal
천마초등학교,elementary_school,3,1,1,1,manual_review,low,normal
부산컴퓨터과학고등학교,high_school,5,1,1,1,manual_review,low,normal
경남여자고등학교,high_school,7,1,1,1,manual_review,low,normal
데레사여자고등학교,high_school,3,1,1,1,manual_review,low,normal
부산남중학교,middle_school,2,1,1,1,manual_review,low,normal
부산보건고등학교,high_school,2,1,1,1,manual_review,low,normal
부산영상예술고등학교,high_school,6,1,1,1,manual_review,low,normal
청학초등학교,elementary_school,3,1,1,1,manual_review,low,normal
광명고등학교,high_school,15,1,1,1,manual_review,low,normal
성서초등학교,elementary_school,3,1,1,1,manual_review,low,normal
부산진중학교,middle_school,2,1,1,1,manual_review,low,normal
부산동성고등학교,high_school,14,1,1,1,manual_review,low,normal
개성고등학교,high_school,10,1,1,1,manual_review,low,normal
안민초등학교,elementary_school,2,1,1,1,manual_review,low,normal
동래원예고등학교,high_school,11,1,1,1,manual_review,low,normal
남일중학교,middle_school,5,1,1,1,manual_review,low,normal
학산여자고등학교,high_school,15,1,1,1,manual_review,low,normal
동명공업고등학교,high_school,3,1,1,1,manual_review,low,normal
한얼고등학교,high_school,9,1,1,1,manual_review,low,normal
동항중학교,middle_school,4,1,1,1,manual_review,low,normal
금곡고등학교,high_school,7,1,1,1,manual_review,low,normal
화명고등학교,high_school,16,1,1,1,manual_review,low,normal
동백중학교,middle_school,3,1,1,1,manual_review,low,normal
양운고등학교,high_school,16,1,1,1,manual_review,low,normal
해동고등학교,high_school,9,1,1,1,manual_review,low,normal
부산자동차마이스터고등학교,high_school,6,1,1,1,manual_review,low,normal
부일전자디자인고등학교,high_school,9,1,1,1,manual_review,low,normal
부산삼육초등학교,elementary_school,2,1,1,1,manual_review,low,normal
브니엘고등학교,high_school,13,1,1,1,manual_review,low,normal
대진전자통신고등학교,high_school,5,1,1,1,manual_review,low,normal
금샘고등학교,high_school,7,1,1,1,manual_review,low,normal
부산대저고등학교,high_school,8,1,1,1,manual_review,low,normal
가락중학교,middle_school,3,1,1,1,manual_review,low,normal
명호고등학교,high_school,14,1,1,1,manual_review,low,normal
녹산중학교,middle_school,2,1,1,1,manual_review,low,normal
신호중학교,middle_school,3,1,1,1,manual_review,low,normal
덕문고등학교,high_school,3,1,1,1,manual_review,low,normal
부산외국어고등학교,high_school,18,1,1,1,manual_review,low,normal
부산여자상업고등학교,high_school,6,1,1,1,manual_review,low,normal
민안초등학교,elementary_school,2,1,1,1,manual_review,low,normal
모라중학교,middle_school,6,1,1,1,manual_review,low,normal
대덕여자고등학교,high_school,8,1,1,1,manual_review,low,normal
창진초등학교,elementary_school,2,1,1,1,manual_review,low,normal
서감초등학교,elementary_school,2,1,1,1,manual_review,low,normal
엄궁중학교,middle_school,4,1,1,1,manual_review,low,normal
신정고등학교,high_school,14,1,1,1,manual_review,low,normal
일광중학교,middle_school,4,1,1,1,manual_review,low,normal
철마초등학교,elementary_school,2,1,1,1,manual_review,low,normal
울산고등학교,high_school,5,1,1,1,manual_review,low,normal
울산애니원고등학교,high_school,4,1,1,1,manual_review,low,normal
함월고등학교,high_school,3,1,1,1,manual_review,low,normal
울산중앙고등학교,high_school,5,1,1,1,manual_review,low,normal
다운고등학교,high_school,4,1,1,1,manual_review,low,normal
외솔중학교,middle_school,4,1,1,1,manual_review,low,normal
남외중학교,middle_school,2,1,1,1,manual_review,low,normal
약사고등학교,high_school,7,1,1,1,manual_review,low,normal
울산가온고등학교,high_school,4,1,1,1,manual_review,low,normal
