source_sheet,source_row,region_id,region_name,school_name,normalized_school_name,school_level,sido,sigungu,source_region_status,relation_context
전남,290,kr-c804-b0a8-kr-c2e0-c548-ad70-kr-ace0-ad70-ba74,고군면,고성중학교,고성중학교,middle_school,전남,신안군,normal,source_reference
전남,290,kr-c804-b0a8-kr-c2e0-c548-ad70-kr-ace0-ad70-ba74,고군면,고성중학교,고성중학교,middle_school,전남,신안군,normal,source_reference
전남,291,kr-c804-b0a8-kr-c2e0-c548-ad70-kr-c758-c2e0-ba74,의신면,의신중학교,의신중학교,middle_school,전남,신안군,normal,source_reference
전남,291,kr-c804-b0a8-kr-c2e0-c548-ad70-kr-c758-c2e0-ba74,의신면,의신중학교,의신중학교,middle_school,전남,신안군,normal,source_reference
전남,291,kr-c804-b0a8-kr-c2e0-c548-ad70-kr-c758-c2e0-ba74,의신면,의신중학교,의신중학교,middle_school,전남,신안군,normal,source_reference
전남,291,kr-c804-b0a8-kr-c2e0-c548-ad70-kr-c758-c2e0-ba74,의신면,의신중학교,의신중학교,middle_school,전남,신안군,normal,source_reference
전남,292,kr-c804-b0a8-kr-c2e0-c548-ad70-kr-c784-d68c-ba74,임회면,진도국악고등학교,진도국악고등학교,high_school,전남,신안군,normal,source_reference
전남,292,kr-c804-b0a8-kr-c2e0-c548-ad70-kr-c784-d68c-ba74,임회면,진도국악고등학교,진도국악고등학교,high_school,전남,신안군,normal,source_reference
전남,292,kr-c804-b0a8-kr-c2e0-c548-ad70-kr-c784-d68c-ba74,임회면,진도국악고등학교,진도국악고등학교,high_school,전남,신안군,normal,source_reference
전남,293,kr-c804-b0a8-kr-c2e0-c548-ad70-kr-c9c0-c0b0-ba74,지산면,진도지산중학교,진도지산중학교,middle_school,전남,신안군,normal,source_reference
전남,293,kr-c804-b0a8-kr-c2e0-c548-ad70-kr-c9c0-c0b0-ba74,지산면,진도지산중학교,진도지산중학교,middle_school,전남,신안군,normal,source_reference
전남,294,kr-c804-b0a8-kr-c2e0-c548-ad70-kr-c870-b3c4-ba74,조도면,조도고등학교,조도고등학교,high_school,전남,신안군,normal,source_reference
전남,294,kr-c804-b0a8-kr-c2e0-c548-ad70-kr-c870-b3c4-ba74,조도면,조도고등학교,조도고등학교,high_school,전남,신안군,normal,source_reference
전남,294,kr-c804-b0a8-kr-c2e0-c548-ad70-kr-c870-b3c4-ba74,조도면,조도고등학교,조도고등학교,high_school,전남,신안군,normal,source_reference
전남,294,kr-c804-b0a8-kr-c2e0-c548-ad70-kr-c870-b3c4-ba74,조도면,조도고등학교,조도고등학교,high_school,전남,신안군,normal,source_reference
전남,294,kr-c804-b0a8-kr-c2e0-c548-ad70-kr-c870-b3c4-ba74,조도면,조도고등학교,조도고등학교,high_school,전남,신안군,normal,source_reference
전남,294,kr-c804-b0a8-kr-c2e0-c548-ad70-kr-c870-b3c4-ba74,조도면,조도고등학교,조도고등학교,high_school,전남,신안군,normal,source_reference
전남,294,kr-c804-b0a8-kr-c2e0-c548-ad70-kr-c870-b3c4-ba74,조도면,조도고등학교,조도고등학교,high_school,전남,신안군,normal,source_reference
전남,295,kr-c804-b0a8-kr-c2e0-c548-ad70-kr-c9c0-b3c4-c74d,지도읍,지명고등학교,지명고등학교,high_school,전남,신안군,normal,source_reference
전남,295,kr-c804-b0a8-kr-c2e0-c548-ad70-kr-c9c0-b3c4-c74d,지도읍,지명고등학교,지명고등학교,high_school,전남,신안군,normal,source_reference
전남,295,kr-c804-b0a8-kr-c2e0-c548-ad70-kr-c9c0-b3c4-c74d,지도읍,지명고등학교,지명고등학교,high_school,전남,신안군,normal,source_reference
전남,296,kr-c804-b0a8-kr-c2e0-c548-ad70-kr-c555-d574-c74d,압해읍,신안해양과학고등학교,신안해양과학고등학교,high_school,전남,신안군,normal,source_reference
전남,296,kr-c804-b0a8-kr-c2e0-c548-ad70-kr-c555-d574-c74d,압해읍,신안해양과학고등학교,신안해양과학고등학교,high_school,전남,신안군,normal,source_reference
전남,296,kr-c804-b0a8-kr-c2e0-c548-ad70-kr-c555-d574-c74d,압해읍,신안해양과학고등학교,신안해양과학고등학교,high_school,전남,신안군,normal,source_reference
전남,296,kr-c804-b0a8-kr-c2e0-c548-ad70-kr-c555-d574-c74d,압해읍,신안해양과학고등학교,신안해양과학고등학교,high_school,전남,신안군,normal,source_reference
전남,296,kr-c804-b0a8-kr-c2e0-c548-ad70-kr-c555-d574-c74d,압해읍,신안해양과학고등학교,신안해양과학고등학교,high_school,전남,신안군,normal,source_reference
전남,297,kr-c804-b0a8-kr-c2e0-c548-ad70-kr-c99d-b3c4-ba74,증도면,신안증도중학교,신안증도중학교,middle_school,전남,신안군,normal,source_reference
전남,297,kr-c804-b0a8-kr-c2e0-c548-ad70-kr-c99d-b3c4-ba74,증도면,신안증도중학교,신안증도중학교,middle_school,전남,신안군,normal,source_reference
전남,297,kr-c804-b0a8-kr-c2e0-c548-ad70-kr-c99d-b3c4-ba74,증도면,신안증도중학교,신안증도중학교,middle_school,전남,신안군,normal,source_reference
전남,298,kr-c804-b0a8-kr-c2e0-c548-ad70-kr-c784-c790-ba74,임자면,임자고등학교,임자고등학교,high_school,전남,신안군,normal,source_reference
전남,298,kr-c804-b0a8-kr-c2e0-c548-ad70-kr-c784-c790-ba74,임자면,임자고등학교,임자고등학교,high_school,전남,신안군,normal,source_reference
전남,298,kr-c804-b0a8-kr-c2e0-c548-ad70-kr-c784-c790-ba74,임자면,임자고등학교,임자고등학교,high_school,전남,신안군,normal,source_reference
전남,298,kr-c804-b0a8-kr-c2e0-c548-ad70-kr-c784-c790-ba74,임자면,임자고등학교,임자고등학교,high_school,전남,신안군,normal,source_reference
전남,299,kr-c804-b0a8-kr-c2e0-c548-ad70-kr-c790-c740-ba74,자은면,자은중학교,자은중학교,middle_school,전남,신안군,normal,source_reference
전남,299,kr-c804-b0a8-kr-c2e0-c548-ad70-kr-c790-c740-ba74,자은면,자은중학교,자은중학교,middle_school,전남,신안군,normal,source_reference
전남,300,kr-c804-b0a8-kr-c2e0-c548-ad70-kr-be44-ae08-ba74,비금면,비금중학교,비금중학교,middle_school,전남,신안군,normal,source_reference
전남,300,kr-c804-b0a8-kr-c2e0-c548-ad70-kr-be44-ae08-ba74,비금면,비금중학교,비금중학교,middle_school,전남,신안군,normal,source_reference
전남,300,kr-c804-b0a8-kr-c2e0-c548-ad70-kr-be44-ae08-ba74,비금면,비금중학교,비금중학교,middle_school,전남,신안군,normal,source_reference
전남,301,kr-c804-b0a8-kr-c2e0-c548-ad70-kr-b3c4-cd08-ba74,도초면,도초고등학교,도초고등학교,high_school,전남,신안군,normal,source_reference
전남,301,kr-c804-b0a8-kr-c2e0-c548-ad70-kr-b3c4-cd08-ba74,도초면,도초고등학교,도초고등학교,high_school,전남,신안군,normal,source_reference
전남,302,kr-c804-b0a8-kr-c2e0-c548-ad70-kr-d751-c0b0-ba74,흑산면,가거도초등학교신안흑산중학교가거도분교장,가거도초등학교신안흑산중학교가거도분교장,middle_school,전남,신안군,normal,source_reference
전남,302,kr-c804-b0a8-kr-c2e0-c548-ad70-kr-d751-c0b0-ba74,흑산면,가거도초등학교신안흑산중학교가거도분교장,가거도초등학교신안흑산중학교가거도분교장,middle_school,전남,신안군,normal,source_reference
전남,302,kr-c804-b0a8-kr-c2e0-c548-ad70-kr-d751-c0b0-ba74,흑산면,가거도초등학교신안흑산중학교가거도분교장,가거도초등학교신안흑산중학교가거도분교장,middle_school,전남,신안군,normal,source_reference
전남,302,kr-c804-b0a8-kr-c2e0-c548-ad70-kr-d751-c0b0-ba74,흑산면,가거도초등학교신안흑산중학교가거도분교장,가거도초등학교신안흑산중학교가거도분교장,middle_school,전남,신안군,normal,source_reference
전남,302,kr-c804-b0a8-kr-c2e0-c548-ad70-kr-d751-c0b0-ba74,흑산면,가거도초등학교신안흑산중학교가거도분교장,가거도초등학교신안흑산중학교가거도분교장,middle_school,전남,신안군,normal,source_reference
전남,302,kr-c804-b0a8-kr-c2e0-c548-ad70-kr-d751-c0b0-ba74,흑산면,가거도초등학교신안흑산중학교가거도분교장,가거도초등학교신안흑산중학교가거도분교장,middle_school,전남,신안군,normal,source_reference
